Training Adaboost with 5% initial random data
Iteration 1:

Round: 1  |  Feature: 20  |  Threshold: 0.05175517551755175  |  Round_error: 0.17180616740088112  |  Train_error: 0.17180616740088106  |  Test_error: 0.24857077521152526  |  AUC: 0.7466672574039068
Round: 2  |  Feature: 51  |  Threshold: 0.0030790073280374405  |  Round_error: 0.22394980904674522  |  Train_error: 0.17180616740088106  |  Test_error: 0.24857077521152526  |  AUC: 0.7466672574039068
Round: 3  |  Feature: 54  |  Threshold: 0.0011125737630503858  |  Round_error: 0.261717995771285  |  Train_error: 0.1277533039647577  |  Test_error: 0.1728790304139035  |  AUC: 0.8232823767765876
Round: 4  |  Feature: 15  |  Threshold: 0.013250000000000001  |  Round_error: 0.2854922854694437  |  Train_error: 0.12334801762114533  |  Test_error: 0.1783672536016465  |  AUC: 0.8093158168802073
Round: 5  |  Feature: 24  |  Threshold: 0.005520883341334614  |  Round_error: 0.7366558068494651  |  Train_error: 0.08810572687224671  |  Test_error: 0.13103132860736333  |  AUC: 0.865901224357628
Round: 6  |  Feature: 52  |  Threshold: 0.008912210561385976  |  Round_error: 0.30104267985047456  |  Train_error: 0.08810572687224671  |  Test_error: 0.13263206037045505  |  AUC: 0.8575558574879226
Round: 7  |  Feature: 11  |  Threshold: 0.09875904860392967  |  Round_error: 0.7166560130007035  |  Train_error: 0.06607929515418498  |  Test_error: 0.11662474273953805  |  AUC: 0.8814218607785479
Round: 8  |  Feature: 15  |  Threshold: 0.0145  |  Round_error: 0.33949623715330907  |  Train_error: 0.07048458149779735  |  Test_error: 0.11845415046878571  |  AUC: 0.8763985157179864
Round: 9  |  Feature: 44  |  Threshold: 0.013305322128851538  |  Round_error: 0.7153185526851967  |  Train_error: 0.05726872246696035  |  Test_error: 0.11250857534873082  |  AUC: 0.8843229276062451
Round: 10  |  Feature: 52  |  Threshold: 0.0010827919373646512  |  Round_error: 0.32591458532959416  |  Train_error: 0.052863436123347984  |  Test_error: 0.11067916761948315  |  AUC: 0.8848320555905623
Iteration 2:

Round: 1  |  Feature: 6  |  Threshold: 0.002063273727647868  |  Round_error: 0.23566878980891717  |  Train_error: 0.23566878980891715  |  Test_error: 0.23728418105459637  |  AUC: 0.7047774832644809
Round: 2  |  Feature: 20  |  Threshold: 0.041854185418541856  |  Round_error: 0.2867117117180672  |  Train_error: 0.23566878980891715  |  Test_error: 0.23728418105459637  |  AUC: 0.7047774832644809
Round: 3  |  Feature: 54  |  Threshold: 0.0009786654561960964  |  Round_error: 0.3224835121059226  |  Train_error: 0.20700636942675155  |  Test_error: 0.17102193187120862  |  AUC: 0.8134885952852856
Round: 4  |  Feature: 15  |  Threshold: 0.006750000000000001  |  Round_error: 0.29413152200730425  |  Train_error: 0.18789808917197448  |  Test_error: 0.1749883341110593  |  AUC: 0.7866784471985419
Round: 5  |  Feature: 24  |  Threshold: 0.00816130580892943  |  Round_error: 0.718296061290048  |  Train_error: 0.13694267515923564  |  Test_error: 0.12295846943537092  |  AUC: 0.8661000412773463
Round: 6  |  Feature: 4  |  Threshold: 0.034  |  Round_error: 0.3396854465532664  |  Train_error: 0.14968152866242035  |  Test_error: 0.13999066728884746  |  AUC: 0.8328811019118348
Round: 7  |  Feature: 44  |  Threshold: 0.023109243697478986  |  Round_error: 0.6748039321434277  |  Train_error: 0.11783439490445857  |  Test_error: 0.12179188054129719  |  AUC: 0.8720932163012541
Round: 8  |  Feature: 51  |  Threshold: 0.00500338690806084  |  Round_error: 0.30948050472900385  |  Train_error: 0.10191082802547768  |  Test_error: 0.1080261315912272  |  AUC: 0.8748603904632273
Round: 9  |  Feature: 52  |  Threshold: 0.02440446443444945  |  Round_error: 0.3787405253823515  |  Train_error: 0.09235668789808915  |  Test_error: 0.09962669155389636  |  AUC: 0.8842361473567147
Round: 10  |  Feature: 26  |  Threshold: 0.0007500750075007502  |  Round_error: 0.6559927195402082  |  Train_error: 0.09554140127388533  |  Test_error: 0.09939337377508162  |  AUC: 0.8881488531606736
Iteration 3:

Round: 1  |  Feature: 15  |  Threshold: 0.006750000000000001  |  Round_error: 0.2506265664160401  |  Train_error: 0.2506265664160401  |  Test_error: 0.23542013806236606  |  AUC: 0.7210731989432804
Round: 2  |  Feature: 52  |  Threshold: 0.0010827919373646512  |  Round_error: 0.31371237456472545  |  Train_error: 0.2506265664160401  |  Test_error: 0.23542013806236606  |  AUC: 0.7210731989432804
Round: 3  |  Feature: 24  |  Threshold: 0.005760921747479598  |  Round_error: 0.6899523892070573  |  Train_error: 0.18796992481203012  |  Test_error: 0.13092120923589623  |  AUC: 0.8542228084473206
Round: 4  |  Feature: 54  |  Threshold: 0.0015165683159328188  |  Round_error: 0.3214574592437399  |  Train_error: 0.19548872180451127  |  Test_error: 0.14948821709116877  |  AUC: 0.8273838427149857
Round: 5  |  Feature: 4  |  Threshold: 0.009500000000000001  |  Round_error: 0.34121644067846196  |  Train_error: 0.17042606516290726  |  Test_error: 0.1166388955010712  |  AUC: 0.8686238555122355
Round: 6  |  Feature: 45  |  Threshold: 0.0013605442176870747  |  Round_error: 0.6494198873095123  |  Train_error: 0.1578947368421053  |  Test_error: 0.11711497262556536  |  AUC: 0.8722111319034868
Round: 7  |  Feature: 51  |  Threshold: 0.007836073649855287  |  Round_error: 0.3297656894481602  |  Train_error: 0.1478696741854637  |  Test_error: 0.0902166150916448  |  AUC: 0.9036131406552154
Round: 8  |  Feature: 18  |  Threshold: 0.1256  |  Round_error: 0.3391411280995204  |  Train_error: 0.16541353383458646  |  Test_error: 0.11544870268983576  |  AUC: 0.8659353208825181
Round: 9  |  Feature: 44  |  Threshold: 0.002567693744164332  |  Round_error: 0.6456131506381476  |  Train_error: 0.12531328320802004  |  Test_error: 0.09212092358962154  |  AUC: 0.9050966088234765
Round: 10  |  Feature: 5  |  Threshold: 0.039965986394557826  |  Round_error: 0.3744669147545741  |  Train_error: 0.1428571428571429  |  Test_error: 0.10711735301118785  |  AUC: 0.8745826932342116
Iteration 4:

Round: 1  |  Feature: 52  |  Threshold: 0.0010827919373646512  |  Round_error: 0.24637681159420294  |  Train_error: 0.24637681159420288  |  Test_error: 0.2105902356084528  |  AUC: 0.7561900537714564
Round: 2  |  Feature: 51  |  Threshold: 0.0014933185540981588  |  Round_error: 0.3289431157029513  |  Train_error: 0.24637681159420288  |  Test_error: 0.2105902356084528  |  AUC: 0.7561900537714564
Round: 3  |  Feature: 36  |  Threshold: 0.013062409288824383  |  Round_error: 0.6506843385133239  |  Train_error: 0.23188405797101452  |  Test_error: 0.1746417294146223  |  AUC: 0.8340623788651341
Round: 4  |  Feature: 15  |  Threshold: 0.014750000000000001  |  Round_error: 0.3105358589037752  |  Train_error: 0.18219461697722572  |  Test_error: 0.14282244352683993  |  AUC: 0.8344820645853833
Round: 5  |  Feature: 54  |  Threshold: 0.0011793009532455742  |  Round_error: 0.3097780732393928  |  Train_error: 0.1697722567287785  |  Test_error: 0.12387660918144283  |  AUC: 0.8672740803689457
Round: 6  |  Feature: 20  |  Threshold: 0.06255625562556255  |  Round_error: 0.3497591681782263  |  Train_error: 0.19461697722567284  |  Test_error: 0.1195044935632742  |  AUC: 0.8631623281748516
