Round: 1  |  Feature: 52  |  Threshold: 0.006580043311677495  |  Round_error: 0.19913043478260867  |  Train_error: 0.19913043478260872  |  Test_error: 0.22434782608695647  |  AUC: 0.744473268666817
Round: 2  |  Feature: 51  |  Threshold: 0.0024170207525093905  |  Round_error: 0.2340077157976032  |  Train_error: 0.19913043478260872  |  Test_error: 0.22434782608695647  |  AUC: 0.744473268666817
Round: 3  |  Feature: 24  |  Threshold: 0.005760921747479598  |  Round_error: 0.7222443212417873  |  Train_error: 0.14376811594202898  |  Test_error: 0.1591304347826087  |  AUC: 0.8447157681028648
Round: 4  |  Feature: 6  |  Threshold: 0.0013755158184319122  |  Round_error: 0.2805887439555153  |  Train_error: 0.13594202898550722  |  Test_error: 0.16000000000000003  |  AUC: 0.8144816652881169
Round: 5  |  Feature: 55  |  Threshold: 0.0008510212254705647  |  Round_error: 0.30974876721609557  |  Train_error: 0.09681159420289853  |  Test_error: 0.111304347826087  |  AUC: 0.884032634032634
Round: 6  |  Feature: 15  |  Threshold: 0.00125  |  Round_error: 0.370859264495068  |  Train_error: 0.10318840579710142  |  Test_error: 0.11652173913043473  |  AUC: 0.8772871393839136
Round: 7  |  Feature: 36  |  Threshold: 0.009433962264150943  |  Round_error: 0.6623543435639767  |  Train_error: 0.09159420289855069  |  Test_error: 0.10521739130434782  |  AUC: 0.8901703135574104
Round: 8  |  Feature: 4  |  Threshold: 0.08650000000000001  |  Round_error: 0.3851610904848942  |  Train_error: 0.09362318840579709  |  Test_error: 0.1069565217391304  |  AUC: 0.8850164172744818
Round: 9  |  Feature: 26  |  Threshold: 0.00015001500150015003  |  Round_error: 0.6178322348796674  |  Train_error: 0.08115942028985512  |  Test_error: 0.09999999999999998  |  AUC: 0.8962453317292027
Round: 10  |  Feature: 7  |  Threshold: 0.0013501350135013501  |  Round_error: 0.3818870149493327  |  Train_error: 0.0895652173913043  |  Test_error: 0.10434782608695647  |  AUC: 0.8875510690026821
Round: 11  |  Feature: 44  |  Threshold: 0.0067693744164332385  |  Round_error: 0.6034647172075691  |  Train_error: 0.07565217391304346  |  Test_error: 0.09130434782608698  |  AUC: 0.903576710028323
Round: 12  |  Feature: 54  |  Threshold: 0.0022197004085338177  |  Round_error: 0.39941916286297324  |  Train_error: 0.08028985507246378  |  Test_error: 0.0939130434782609  |  AUC: 0.8976896759154824
Round: 13  |  Feature: 51  |  Threshold: 0.0011546277480140401  |  Round_error: 0.5782772821388379  |  Train_error: 0.07449275362318841  |  Test_error: 0.09652173913043482  |  AUC: 0.8938140712334263
Round: 14  |  Feature: 20  |  Threshold: 0.05535553555355535  |  Round_error: 0.4241598548401448  |  Train_error: 0.07565217391304346  |  Test_error: 0.09217391304347822  |  AUC: 0.8991559515753066
Round: 15  |  Feature: 52  |  Threshold: 0.0064134599366983186  |  Round_error: 0.586388919044213  |  Train_error: 0.07217391304347831  |  Test_error: 0.08434782608695657  |  AUC: 0.9097770509060832
Round: 16  |  Feature: 51  |  Threshold: 0.031652195332224894  |  Round_error: 0.41694576985612963  |  Train_error: 0.07246376811594202  |  Test_error: 0.08347826086956522  |  AUC: 0.9081635210667469
Round: 17  |  Feature: 26  |  Threshold: 0.00015001500150015003  |  Round_error: 0.5941190496560347  |  Train_error: 0.06840579710144923  |  Test_error: 0.0808695652173913  |  AUC: 0.9140505551795874
Round: 18  |  Feature: 22  |  Threshold: 0.04770642201834862  |  Round_error: 0.4090567118702976  |  Train_error: 0.07101449275362315  |  Test_error: 0.08260869565217388  |  AUC: 0.9085614206581949
Round: 19  |  Feature: 45  |  Threshold: 0.0011337868480725624  |  Round_error: 0.5937834132267912  |  Train_error: 0.06608695652173913  |  Test_error: 0.07565217391304346  |  AUC: 0.9191198586359877
Round: 20  |  Feature: 5  |  Threshold: 0.045068027210884355  |  Round_error: 0.4262325262067741  |  Train_error: 0.06724637681159418  |  Test_error: 0.07913043478260873  |  AUC: 0.9121644484547712
Round: 21  |  Feature: 11  |  Threshold: 0.078076525336091  |  Round_error: 0.5815414009999578  |  Train_error: 0.06405797101449273  |  Test_error: 0.07652173913043481  |  AUC: 0.9183867208060756
Round: 22  |  Feature: 18  |  Threshold: 0.16720000000000002  |  Round_error: 0.43165129312903255  |  Train_error: 0.06376811594202902  |  Test_error: 0.07565217391304346  |  AUC: 0.9174436674436675
Round: 23  |  Feature: 41  |  Threshold: 0.00035014005602240897  |  Round_error: 0.5697849927690792  |  Train_error: 0.059710144927536235  |  Test_error: 0.07304347826086954  |  AUC: 0.9226602250795799
Round: 24  |  Feature: 15  |  Threshold: 0.09675  |  Round_error: 0.428415146023041  |  Train_error: 0.061159420289855104  |  Test_error: 0.07565217391304346  |  AUC: 0.9177789056821315
Round: 25  |  Feature: 26  |  Threshold: 0.00015001500150015003  |  Round_error: 0.5713494476162116  |  Train_error: 0.058260869565217366  |  Test_error: 0.07217391304347831  |  AUC: 0.9233933629094919
Round: 26  |  Feature: 4  |  Threshold: 0.009500000000000001  |  Round_error: 0.429351871564284  |  Train_error: 0.05652173913043479  |  Test_error: 0.06956521739130439  |  AUC: 0.925592776399228
Round: 27  |  Feature: 54  |  Threshold: 0.001176123467998184  |  Round_error: 0.4462542568743122  |  Train_error: 0.057101449275362315  |  Test_error: 0.06869565217391305  |  AUC: 0.9269963907060682
Round: 28  |  Feature: 54  |  Threshold: 0.0004997730367680436  |  Round_error: 0.5537032059460532  |  Train_error: 0.05652173913043479  |  Test_error: 0.07043478260869562  |  AUC: 0.924189162092388
Round: 29  |  Feature: 24  |  Threshold: 0.005760921747479598  |  Round_error: 0.5528134016993964  |  Train_error: 0.05507246376811592  |  Test_error: 0.06869565217391305  |  AUC: 0.9273316289445321
Round: 30  |  Feature: 1  |  Threshold: 0.026260504201680673  |  Round_error: 0.4424063459887642  |  Train_error: 0.057101449275362315  |  Test_error: 0.06869565217391305  |  AUC: 0.925655437752212
Round: 31  |  Feature: 41  |  Threshold: 0.004551820728291317  |  Round_error: 0.5597736611208998  |  Train_error: 0.05478260869565221  |  Test_error: 0.06695652173913047  |  AUC: 0.9291331428428202
Round: 32  |  Feature: 27  |  Threshold: 0.025852585258525854  |  Round_error: 0.44170978128307803  |  Train_error: 0.05652173913043479  |  Test_error: 0.06869565217391305  |  AUC: 0.92632591422914
Round: 33  |  Feature: 54  |  Threshold: 0.0030422151611438947  |  Round_error: 0.552572083958059  |  Train_error: 0.05478260869565221  |  Test_error: 0.07217391304347831  |  AUC: 0.922722886432564
Round: 34  |  Feature: 54  |  Threshold: 0.001176123467998184  |  Round_error: 0.45043749343930556  |  Train_error: 0.05652173913043479  |  Test_error: 0.06956521739130439  |  AUC: 0.925928014637692
Round: 35  |  Feature: 51  |  Threshold: 0.0014317384075374097  |  Round_error: 0.5453547879559408  |  Train_error: 0.054492753623188395  |  Test_error: 0.07043478260869562  |  AUC: 0.924859638569316
Round: 36  |  Feature: 51  |  Threshold: 0.031652195332224894  |  Round_error: 0.44796919526358675  |  Train_error: 0.057101449275362315  |  Test_error: 0.07217391304347831  |  AUC: 0.922722886432564
Round: 37  |  Feature: 26  |  Threshold: 0.00015001500150015003  |  Round_error: 0.5648471435928931  |  Train_error: 0.053043478260869525  |  Test_error: 0.07043478260869562  |  AUC: 0.925530115046244
Round: 38  |  Feature: 54  |  Threshold: 0.005458465728551975  |  Round_error: 0.44130576391166954  |  Train_error: 0.055942028985507264  |  Test_error: 0.06869565217391305  |  AUC: 0.9269963907060682
Round: 39  |  Feature: 45  |  Threshold: 0.0011337868480725624  |  Round_error: 0.558301272847008  |  Train_error: 0.05159420289855077  |  Test_error: 0.06869565217391305  |  AUC: 0.9273316289445321
Round: 40  |  Feature: 16  |  Threshold: 0.07212885154061624  |  Round_error: 0.44973431958847593  |  Train_error: 0.05507246376811592  |  Test_error: 0.06608695652173913  |  AUC: 0.9295310424342682
Round: 41  |  Feature: 54  |  Threshold: 0.0030422151611438947  |  Round_error: 0.550737261205856  |  Train_error: 0.05159420289855077  |  Test_error: 0.06869565217391305  |  AUC: 0.92632591422914
Round: 42  |  Feature: 6  |  Threshold: 0.05708390646492435  |  Round_error: 0.45737445682766875  |  Train_error: 0.05478260869565221  |  Test_error: 0.06869565217391305  |  AUC: 0.925990675990676
Round: 43  |  Feature: 24  |  Threshold: 0.0343254920787326  |  Round_error: 0.5549392024847053  |  Train_error: 0.05159420289855077  |  Test_error: 0.06869565217391305  |  AUC: 0.92632591422914
Round: 44  |  Feature: 56  |  Threshold: 0.04393939393939394  |  Round_error: 0.44710158147616746  |  Train_error: 0.05362318840579705  |  Test_error: 0.0678260869565217  |  AUC: 0.926723813820588
Round: 45  |  Feature: 26  |  Threshold: 0.00015001500150015003  |  Round_error: 0.5541534127701229  |  Train_error: 0.050724637681159424  |  Test_error: 0.06956521739130439  |  AUC: 0.925592776399228
Round: 46  |  Feature: 15  |  Threshold: 0.09675  |  Round_error: 0.4490892399909878  |  Train_error: 0.05275362318840582  |  Test_error: 0.0678260869565217  |  AUC: 0.926723813820588
Round: 47  |  Feature: 10  |  Threshold: 0.12452107279693488  |  Round_error: 0.5530866105296226  |  Train_error: 0.0501449275362319  |  Test_error: 0.06956521739130439  |  AUC: 0.925592776399228
Round: 48  |  Feature: 56  |  Threshold: 0.004829545454545454  |  Round_error: 0.4497029678294552  |  Train_error: 0.052463768115942  |  Test_error: 0.06956521739130439  |  AUC: 0.9269337293530842
Round: 49  |  Feature: 23  |  Threshold: 0.1004  |  Round_error: 0.4529638785440156  |  Train_error: 0.05275362318840582  |  Test_error: 0.07130434782608697  |  AUC: 0.923456024262476
Round: 50  |  Feature: 36  |  Threshold: 0.009433962264150943  |  Round_error: 0.5543742758763164  |  Train_error: 0.05130434782608695  |  Test_error: 0.07043478260869562  |  AUC: 0.9262005915231721
Round: 51  |  Feature: 22  |  Threshold: 0.08899082568807339  |  Round_error: 0.456505954582168  |  Train_error: 0.05159420289855077  |  Test_error: 0.07304347826086954  |  AUC: 0.9223249868411159
Round: 52  |  Feature: 0  |  Threshold: 0.034140969162995596  |  Round_error: 0.5524987194049183  |  Train_error: 0.05130434782608695  |  Test_error: 0.07043478260869562  |  AUC: 0.9258653532847082
Round: 53  |  Feature: 51  |  Threshold: 0.03319169899624361  |  Round_error: 0.46034942533036  |  Train_error: 0.050724637681159424  |  Test_error: 0.06956521739130439  |  AUC: 0.925928014637692
Round: 54  |  Feature: 44  |  Threshold: 0.022175536881419232  |  Round_error: 0.5479835737031654  |  Train_error: 0.05159420289855077  |  Test_error: 0.06956521739130439  |  AUC: 0.9265984911146201
Round: 55  |  Feature: 23  |  Threshold: 0.0008  |  Round_error: 0.4587080021962733  |  Train_error: 0.050434782608695605  |  Test_error: 0.06695652173913047  |  AUC: 0.9284626663658921
Round: 56  |  Feature: 17  |  Threshold: 0.022552255225522552  |  Round_error: 0.5424408280499778  |  Train_error: 0.051884057971014474  |  Test_error: 0.0678260869565217  |  AUC: 0.9280647667744442
Round: 57  |  Feature: 15  |  Threshold: 0.02075  |  Round_error: 0.4602014423101254  |  Train_error: 0.050724637681159424  |  Test_error: 0.06521739130434778  |  AUC: 0.9302641802641802
Round: 58  |  Feature: 41  |  Threshold: 0.00035014005602240897  |  Round_error: 0.5411181481200109  |  Train_error: 0.05101449275362324  |  Test_error: 0.07043478260869562  |  AUC: 0.9258653532847082
